id,domain,pmid,name,osEntrez
GO:0099060,CC,4781450,integral component of postsynaptic specialization membrane (GO:0099060),11435
GO:0099060,CC,4781450,integral component of postsynaptic specialization membrane (GO:0099060),11447
GO:0099060,CC,4781450,integral component of postsynaptic specialization membrane (GO:0099060),11443
GO:0099060,CC,4781450,integral component of postsynaptic specialization membrane (GO:0099060),11448
GO:0099060,CC,12832540,integral component of postsynaptic specialization membrane (GO:0099060),11448
GO:0099171,BP,11145999,presynaptic modulation of chemical synaptic transmission (GO:0099171),11444
GO:0099171,BP,12944511,presynaptic modulation of chemical synaptic transmission (GO:0099171),11444
GO:0099171,BP,12944511,presynaptic modulation of chemical synaptic transmission (GO:0099171),11438
GO:0099171,BP,12944511,presynaptic modulation of chemical synaptic transmission (GO:0099171),11440
GO:0099171,BP,19693710,presynaptic modulation of chemical synaptic transmission (GO:0099171),110835
GO:0099171,BP,21762741,presynaptic modulation of chemical synaptic transmission (GO:0099171),11441
GO:0099171,BP,12065717,presynaptic modulation of chemical synaptic transmission (GO:0099171),110834
GO:1904315,BP,28724750,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14654
GO:1904315,BP,19528249,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),237213
GO:0099060,CC,17154252,integral component of postsynaptic specialization membrane (GO:0099060),14657
GO:1904315,BP,16672662,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14658
GO:1904315,BP,11348590,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14800
GO:0099060,CC,25339867,integral component of postsynaptic specialization membrane (GO:0099060),14654
GO:0099060,CC,22574341,integral component of postsynaptic specialization membrane (GO:0099060),110304
GO:0045202,CC,22592841,synapse (GO:0045202),14658
GO:0099056,CC,12592509,integral component of presynaptic membrane (GO:0099056),15561
GO:0099061,CC,27076426,integral component of postsynaptic density membrane (GO:0099061),12300
GO:0099061,CC,27076426,integral component of postsynaptic density membrane (GO:0099061),54376
GO:0099061,CC,27076426,integral component of postsynaptic density membrane (GO:0099061),81905
SYNGO:postsyn_er_membrane_integral,CC,22539351,integral component of postsynaptic ER membrane,78070
