id,domain,pmid,name,osEntrez
GO:1905606,BP,19252495,regulation of presynapse assembly (GO:1905606),272381
GO:0099151,BP,19252495,regulation of postsynaptic density assembly (GO:0099151),272381
GO:1905606,BP,20410109,regulation of presynapse assembly (GO:1905606),238205
GO:1905606,BP,20410109,regulation of presynapse assembly (GO:1905606),225875
GO:0099151,BP,20410109,regulation of postsynaptic density assembly (GO:0099151),225875
GO:0099151,BP,16630835,regulation of postsynaptic density assembly (GO:0099151),80749
GO:0099179,BP,27480238,regulation of synaptic membrane adhesion (GO:0099179),233067
GO:0099092,CC,24261326,"postsynaptic density, intracellular component (GO:0099092)",56440
GO:0099175,BP,15750591,regulation of postsynapse organization (GO:0099175),19268
GO:0099054,BP,21262467,presynapse assembly (GO:0099054),19280
GO:0099151,BP,21262467,regulation of postsynaptic density assembly (GO:0099151),19280
GO:0090128,BP,16959763,regulation of synapse maturation (GO:0090128),22631
GO:0099061,CC,26931375,integral component of postsynaptic density membrane (GO:0099061),380702
GO:0098970,BP,26931375,postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970),380702
GO:0099060,CC,29199957,integral component of postsynaptic specialization membrane (GO:0099060),232813
GO:0098962,BP,29199957,regulation of postsynaptic neurotransmitter receptor activity (GO:0098962),232813
GO:0099072,BP,26338711,regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072),78070
GO:0099092,CC,9371836,"postsynaptic density, intracellular component (GO:0099092)",14433
GO:0098850,CC,12488440,extrinsic component of synaptic vesicle membrane (GO:0098850),14433
GO:0045202,CC,22911758,synapse (GO:0045202),22630
GO:0098962,BP,26931375,regulation of postsynaptic neurotransmitter receptor activity (GO:0098962),380702
GO:0099055,CC,11441182,integral component of postsynaptic membrane (GO:0099055),11555
GO:0008039,BP,22124272,synaptic target recognition (GO:0008039),22631
GO:0043083,CC,29024665,synaptic cleft (GO:0043083),18164
GO:0099645,BP,29024665,neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645),18164
GO:0097107,BP,29024665,postsynaptic density assembly (GO:0097107),18164
GO:0099151,BP,29024665,regulation of postsynaptic density assembly (GO:0099151),19266
SYNGO:presyn_chaperoneProteinFolding,BP,21151134,presynaptic chaperone-mediated protein folding,13002
SYNGO:presyn_chaperoneProteinFolding,BP,21151134,presynaptic chaperone-mediated protein folding,15481
GO:0098831,CC,12727444,presynaptic active zone cytoplasmic component (GO:0098831),12388
GO:0050804,BP,12824447,modulation of chemical synaptic transmission (GO:0050804),21366
SYNGO:postsyn_mitochondria_membrane_integral,CC,16914199,integral component of postsynaptic mitochondrial membrane,110891
SYNGO:postsyn_mitochondria_membrane_integral,CC,16914199,integral component of postsynaptic mitochondrial membrane,20541
GO:1905606,BP,27480238,regulation of presynapse assembly (GO:1905606),233067
GO:0099147,CC,10207009,extrinsic component of postsynaptic density membrane (GO:0099147),245684
GO:0045202,CC,10383464,synapse (GO:0045202),18530
GO:0099179,BP,17988630,regulation of synaptic membrane adhesion (GO:0099179),18530
GO:0050804,BP,10383464,modulation of chemical synaptic transmission (GO:0050804),18530
GO:0099179,BP,17988630,regulation of synaptic membrane adhesion (GO:0099179),381921
GO:0099179,BP,17988630,regulation of synaptic membrane adhesion (GO:0099179),26416
GO:0099055,CC,17988630,integral component of postsynaptic membrane (GO:0099055),18530
