msEntrez,Association,PMID,Source
238680,Autism,,SFARI-Gene_genes
170571,Autism,,SFARI-Gene_genes
636808,Autism,,SFARI-Gene_genes
213945,Autism,,SFARI-Gene_genes
12896,Autism,,SFARI-Gene_genes
242939,Autism,,SFARI-Gene_genes
12914,Autism,,SFARI-Gene_genes
229663,Autism,,SFARI-Gene_genes
94109,Autism,,SFARI-Gene_genes
27373,Autism,,SFARI-Gene_genes
13018,Autism,,SFARI-Gene_genes
12386,Autism,,SFARI-Gene_genes
216033,Autism,,SFARI-Gene_genes
12387,Autism,,SFARI-Gene_genes
18163,Autism,,SFARI-Gene_genes
30785,Autism,,SFARI-Gene_genes
26554,Autism,,SFARI-Gene_genes
66515,Autism,,SFARI-Gene_genes
13048,Autism,,SFARI-Gene_genes
13051,Autism,,SFARI-Gene_genes
20430,Autism,,SFARI-Gene_genes
104086,Autism,,SFARI-Gene_genes
269060,Autism,,SFARI-Gene_genes
26377,Autism,,SFARI-Gene_genes
13205,Autism,,SFARI-Gene_genes
54006,Autism,,SFARI-Gene_genes
239857,Autism,,SFARI-Gene_genes
12326,Autism,,SFARI-Gene_genes
171486,Autism,,SFARI-Gene_genes
104010,Autism,,SFARI-Gene_genes
67579,Autism,,SFARI-Gene_genes
13072,Autism,,SFARI-Gene_genes
13195,Autism,,SFARI-Gene_genes
68184,Autism,,SFARI-Gene_genes
277854,Autism,,SFARI-Gene_genes
13360,Autism,,SFARI-Gene_genes
72831,Autism,,SFARI-Gene_genes
64451,Autism,,SFARI-Gene_genes
208440,Autism,,SFARI-Gene_genes
244667,Autism,,SFARI-Gene_genes
68861,Autism,,SFARI-Gene_genes
330938,Autism,,SFARI-Gene_genes
13383,Autism,,SFARI-Gene_genes
23859,Autism,,SFARI-Gene_genes
13385,Autism,,SFARI-Gene_genes
224997,Autism,,SFARI-Gene_genes
244310,Autism,,SFARI-Gene_genes
242667,Autism,,SFARI-Gene_genes
13388,Autism,,SFARI-Gene_genes
13393,Autism,,SFARI-Gene_genes
13396,Autism,,SFARI-Gene_genes
13405,Autism,,SFARI-Gene_genes
13400,Autism,,SFARI-Gene_genes
13401,Autism,,SFARI-Gene_genes
235380,Autism,,SFARI-Gene_genes
56087,Autism,,SFARI-Gene_genes
